authority_id,name,type,code,hectares,population
42,Enfield,London Borough,E09000010,8220.025,328433
19,Bury,Metropolitan District,E08000002,9946.009,187884
10,Bolton,Metropolitan District,E08000001,13979.21,281619
72,Lewisham,London Borough,E09000023,3531.706,297325
135,Wakefield,Metropolitan District,E08000036,33861.969,333759
106,Salford,Metropolitan District,E08000006,9719.732,245614
38,Durham,Unitary Authority,E06000047,223269.869,519695
105,Rutland,Unitary Authority,E06000017,39374.897,38046
62,Kent,County,E10000016,363955.258,1524719
114,South Gloucestershire,Unitary Authority,E06000025,53664.531,274661
101,Redcar and Cleveland,Unitary Authority,E06000003,25389.087,135275
91,Nottingham,Unitary Authority,E06000018,7461.352,318901
57,Hillingdon,London Borough,E09000017,11570.063,297735
102,Richmond upon Thames,London Borough,E09000027,5876.111,194730
27,Cornwall,Unitary Authority,E06000052,361335.741,549404
18,Buckinghamshire,County,E10000002,156494.916,528400
108,Sefton,Metropolitan District,E08000014,20477.967,273707
93,Oldham,Metropolitan District,E08000004,14234.507,230823
147,Wirral,Metropolitan District,E08000015,25639.898,320900
53,Hartlepool,Unitary Authority,E06000001,9844.17,92493
104,Rotherham,Metropolitan District,E08000018,28653.431,260786
115,South Tyneside,Metropolitan District,E08000023,6710.839,148671
23,Central Bedfordshire,Unitary Authority,E06000056,71566.521,274022
132,Torbay,Unitary Authority,E06000027,11946.705,133373
92,Nottinghamshire,County,E10000024,208689.497,805848
123,Stoke on Trent,Unitary Authority,E06000021,9344.849,251648
30,Cumbria,County,E10000006,718247.316,497996
112,Solihull,Metropolitan District,E08000029,17828.205,210445
148,Wokingham,Unitary Authority,E06000041,17896.545,160409
126,Surrey,County,E10000030,167007.319,1168809
98,Portsmouth,Unitary Authority,E06000044,6014.447,211758
65,Kirklees,Metropolitan District,E08000034,40855.166,434321
121,Stockport,Metropolitan District,E08000007,12604.032,288733
134,Trafford,Metropolitan District,E08000009,10604.476,233288
47,Hackney,London Borough,E09000012,1904.902,269009
119,St Helens,Metropolitan District,E08000013,13635.876,177612
