authority,distance,population
Windsor and Maidenhead,3,1667
Wirral,0,160395
Wirral,1,157754
Wirral,2,2765
Wokingham,0,45419
Wokingham,1,106604
Wokingham,2,7074
Wolverhampton,0,102108
Wolverhampton,1,150879
Worcestershire,0,94969
Worcestershire,1,317830
Worcestershire,2,81395
Worcestershire,3,36529
Worcestershire,4,29960
Worcestershire,5,9953
Worcestershire,6,2829
York,0,63065
York,1,110576
York,2,26643
York,3,2531
York,5,1624
