authority_id,name,code,hectares,multiple,income,employment,education,health,crime,housing,environment,idaci,idaopi,education,adultskills,services,wider,indoors,outdoors,population,dependent_children,working_age,sixteen_fiftynine,over_sixty
140,Warwickshire,E10000031,197752.257,6.708,6.661,6.702,6.304,6.440,6.204,5.979,6.006,6.637,6.513,6.209,6.162,4.794,6.392,5.319,6.708,554002,99836,335336,309668,140830
141,West Berkshire,E06000037,70416.943,7.928,7.711,8.021,6.763,9.206,6.443,5.433,7.526,7.351,8.010,6.289,6.938,3.423,7.680,6.454,9.258,156020,31516,94996,87781,35858
142,West Sussex,E10000032,202346.329,6.871,6.743,6.865,5.850,7.057,6.853,5.519,6.937,6.719,7.046,5.345,6.319,4.564,5.851,6.533,6.883,836256,151355,488398,449243,229416
143,Westminster,E09000033,2203.005,4.000,5.055,5.805,7.859,6.086,3.773,2.031,1.258,4.414,4.094,7.180,8.328,9.359,1.094,2.484,1.000,242299,38637,173403,165331,37380
144,Wigan,E08000010,18817.091,4.930,5.020,4.065,4.820,3.295,5.510,7.645,6.990,5.390,5.110,5.260,4.265,5.780,7.050,6.485,6.655,322022,60196,198872,184651,75353
145,Wiltshire,E06000054,325533.806,7.014,7.063,7.151,6.168,7.393,7.211,4.561,6.635,7.021,7.323,5.554,6.730,3.358,6.551,5.337,9.175,486093,92123,289050,265905,124804
146,Windsor and Maidenhead,E06000040,19842.706,8.270,8.011,8.281,7.820,9.045,6.090,6.236,7.067,8.022,7.708,7.393,8.067,4.517,6.854,7.551,5.079,147708,29753,89594,83451,33624
147,Wirral,E08000015,25639.898,4.985,4.777,4.087,6.019,3.228,6.417,8.539,5.214,5.282,4.990,6.136,5.738,6.617,7.772,4.393,6.466,320900,59789,190159,174290,84534
148,Wokingham,E06000041,17896.545,9.283,8.758,9.010,8.384,9.758,8.010,6.212,8.939,8.505,8.848,7.828,8.768,3.293,9.364,8.980,7.192,160409,33275,97864,91075,35109
149,Wolverhampton,E08000031,6943.665,3.475,3.209,2.994,3.778,3.475,4.500,5.127,4.411,3.449,3.380,4.589,3.177,6.551,3.570,4.139,4.563,254406,51972,157237,147172,53724
150,Worcestershire,E10000034,174051.43,6.165,6.324,6.181,5.967,6.448,6.626,4.321,6.019,6.393,6.599,5.997,5.857,3.742,5.690,5.209,7.736,578593,101783,344295,315165,157646
151,York,E06000014,27201.473,7.458,7.342,7.442,6.992,7.183,6.800,6.533,5.733,7.100,6.975,6.500,7.333,5.408,6.008,5.783,4.783,206856,32500,135257,126971,46064
