authority,population,distance
Stoke on Trent,11073,2.5
Stoke on Trent,3977,3.0
Stoke on Trent,219,3.5
Suffolk,63695,0.0
Suffolk,262352,0.5
Suffolk,145675,1.0
Suffolk,65345,1.5
Suffolk,46326,2.0
Suffolk,32945,2.5
Suffolk,35777,3.0
Suffolk,28742,3.5
Suffolk,17969,4.0
Suffolk,17111,4.5
Suffolk,12234,5.0
Suffolk,5676,5.5
Suffolk,3756,6.0
Suffolk,2955,6.5
Suffolk,1031,7.0
Suffolk,306,7.5
Sunderland,21902,0.0
Sunderland,135248,0.5
Sunderland,91888,1.0
Sunderland,26221,1.5
Sunderland,1891,2.0
Surrey,92112,0.0
Surrey,446218,0.5
Surrey,313615,1.0
Surrey,137658,1.5
Surrey,80399,2.0
Surrey,36404,2.5
Surrey,22704,3.0
Surrey,12864,3.5
Surrey,13305,4.0
Surrey,6049,4.5
Surrey,3866,5.0
Surrey,1714,5.5
Surrey,540,6.0
Surrey,1050,6.5
Surrey,311,7.0
Sutton,25056,0.0
Sutton,131456,0.5
Sutton,36057,1.0
Sutton,5168,1.5
Sutton,1748,2.0
Sutton,660,2.5
Swindon,33203,0.0
Swindon,130252,0.5
Swindon,40094,1.0
Swindon,8387,1.5
Swindon,1754,2.0
Swindon,1952,2.5
Swindon,591,3.0
Swindon,927,3.5
Tameside,18846,0.0
Tameside,105409,0.5
Tameside,74226,1.0
Tameside,22765,1.5
Tameside,133,2.0
Tameside,313,2.5
Telford and Wrekin,15446,0.0
Telford and Wrekin,86324,0.5
Telford and Wrekin,43961,1.0
Telford and Wrekin,14608,1.5
Telford and Wrekin,3980,2.0
Telford and Wrekin,2053,2.5
Telford and Wrekin,821,3.0
Telford and Wrekin,1083,4.0
Telford and Wrekin,599,4.5
Telford and Wrekin,799,5.0
Telford and Wrekin,461,5.5
Telford and Wrekin,688,6.0
Telford and Wrekin,336,7.0
Thurrock,22893,0.0
Thurrock,86663,0.5
Thurrock,34575,1.0
Thurrock,15760,1.5
Thurrock,4267,2.0
Thurrock,680,3.5
Thurrock,346,4.0
Torbay,8764,0.0
Torbay,49812,0.5
Torbay,45275,1.0
Torbay,20819,1.5
Torbay,7815,2.0
Torbay,533,2.5
Torbay,355,3.0
Tower Hamlets,64897,0.0
Tower Hamlets,206528,0.5
Tower Hamlets,23811,1.0
Trafford,23609,0.0
Trafford,140690,0.5
Trafford,59617,1.0
Trafford,7320,1.5
Trafford,1805,2.0
Trafford,247,2.5
Wakefield,22176,0.0
Wakefield,126198,0.5
Wakefield,92461,1.0
Wakefield,46410,1.5
Wakefield,23689,2.0
Wakefield,15334,2.5
Wakefield,4461,3.0
Wakefield,1681,3.5
Wakefield,623,4.0
Wakefield,726,4.5
Walsall,35232,0.0
Walsall,167836,0.5
Walsall,66003,1.0
Walsall,6427,1.5
Walsall,597,2.0
Waltham Forest,38946,0.0
Waltham Forest,191391,0.5
Waltham Forest,38400,1.0
Waltham Forest,2433,1.5
Wandsworth,72236,0.0
Wandsworth,216027,0.5
Wandsworth,26281,1.0
Warrington,16766,0.0
Warrington,104906,0.5
Warrington,60301,1.0
Warrington,15967,1.5
Warrington,5988,2.0
Warrington,3446,2.5
Warrington,321,3.0
Warwickshire,31220,0.0
Warwickshire,179129,0.5
Warwickshire,115138,1.0
Warwickshire,68268,1.5
Warwickshire,42630,2.0
Warwickshire,22650,2.5
Warwickshire,22135,3.0
Warwickshire,18215,3.5
Warwickshire,16235,4.0
Warwickshire,11201,4.5
Warwickshire,7615,5.0
Warwickshire,5894,5.5
Warwickshire,2911,6.0
Warwickshire,3832,6.5
Warwickshire,1618,7.0
Warwickshire,1398,7.5
Warwickshire,795,8.0
Warwickshire,647,8.5
Warwickshire,948,9.0
Warwickshire,891,10.0
Warwickshire,632,10.5
West Berkshire,11605,0.0
West Berkshire,48388,0.5
West Berkshire,29110,1.0
West Berkshire,17616,1.5
West Berkshire,16370,2.0
West Berkshire,7670,2.5
West Berkshire,5295,3.0
West Berkshire,5318,3.5
West Berkshire,6159,4.0
West Berkshire,1863,4.5
West Berkshire,683,5.0
West Berkshire,1862,5.5
West Berkshire,355,6.0
West Berkshire,662,6.5
West Berkshire,550,7.0
West Berkshire,1628,7.5
West Berkshire,276,8.5
West Berkshire,276,9.0
West Berkshire,334,9.5
West Sussex,67918,0.0
West Sussex,327569,0.5
West Sussex,204137,1.0
West Sussex,88441,1.5
West Sussex,40282,2.0
West Sussex,26941,2.5
West Sussex,25936,3.0
West Sussex,22287,3.5
West Sussex,12208,4.0
West Sussex,6437,4.5
West Sussex,5698,5.0
West Sussex,2537,5.5
West Sussex,2763,6.0
West Sussex,1439,6.5
West Sussex,1663,7.0
Westminster,92737,0.0
Westminster,144636,0.5
Westminster,4677,1.0
Westminster,249,1.5
Wigan,31489,0.0
Wigan,147233,0.5
Wigan,108556,1.0
Wigan,27682,1.5
Wigan,6547,2.0
Wigan,515,2.5
Wiltshire,37701,0.0
Wiltshire,165570,0.5
Wiltshire,103549,1.0
Wiltshire,55379,1.5
Wiltshire,24156,2.0
Wiltshire,21829,2.5
Wiltshire,17236,3.0
Wiltshire,16012,3.5
Wiltshire,13715,4.0
Wiltshire,10669,4.5
Wiltshire,6480,5.0
Wiltshire,5800,5.5
Wiltshire,3089,6.0
Wiltshire,3044,6.5
Wiltshire,1635,7.0
Wiltshire,229,7.5
Windsor and Maidenhead,24055,0.0
Windsor and Maidenhead,92104,0.5
Windsor and Maidenhead,23133,1.0
Windsor and Maidenhead,3933,1.5
Windsor and Maidenhead,2077,2.0
Windsor and Maidenhead,1171,2.5
Windsor and Maidenhead,687,3.0
Windsor and Maidenhead,548,3.5
Wirral,55863,0.0
Wirral,214656,0.5
Wirral,45949,1.0
Wirral,3779,1.5
Wirral,653,2.0
Wokingham,14342,0.0
Wokingham,75482,0.5
Wokingham,45955,1.0
Wokingham,14849,1.5
Wokingham,3704,2.0
Wokingham,3864,2.5
Wokingham,2213,3.0
Wolverhampton,35272,0.0
Wolverhampton,167606,0.5
Wolverhampton,49342,1.0
Wolverhampton,2186,1.5
Worcestershire,30636,0.0
Worcestershire,159899,0.5
Worcestershire,169203,1.0
Worcestershire,92180,1.5
Worcestershire,42110,2.0
Worcestershire,22175,2.5
Worcestershire,17510,3.0
Worcestershire,14342,3.5
Worcestershire,11975,4.0
Worcestershire,5894,4.5
Worcestershire,4081,5.0
Worcestershire,4311,5.5
Worcestershire,3043,6.0
Worcestershire,474,6.5
Worcestershire,760,7.0
York,26098,0.0
York,118654,0.5
York,40846,1.0
York,10162,1.5
York,6085,2.0
York,1340,2.5
York,1048,3.0
York,706,4.0
York,1180,4.5
York,737,5.0
