authority,population,distance
30,71786,1.0
30,31564,1.5
30,24320,2.0
30,19308,2.5
30,19244,3.0
30,15156,3.5
30,9727,4.0
30,10022,4.5
30,5280,5.0
30,6017,5.5
30,5145,6.0
30,4213,6.5
30,1585,7.0
30,2887,7.5
30,672,8.0
30,876,9.0
30,404,12.0
31,2818,0.0
31,33052,0.5
31,31334,1.0
31,17753,1.5
31,7362,2.0
31,1069,2.5
31,2877,3.0
31,3921,3.5
31,1551,4.0
31,2107,4.5
31,895,5.0
31,299,5.5
31,351,6.0
32,34305,0.0
32,164408,0.5
32,52151,1.0
32,3387,1.5
33,60210,0.0
33,282607,0.5
33,187903,1.0
33,98189,1.5
33,48518,2.0
33,37127,2.5
33,22263,3.0
33,10372,3.5
33,12342,4.0
33,8896,4.5
33,3198,5.0
33,2827,5.5
33,3371,6.0
33,1862,6.5
33,1050,7.0
33,406,7.5
33,1224,8.5
34,74985,0.0
34,236234,0.5
34,133919,1.0
34,84179,1.5
34,44494,2.0
34,34291,2.5
34,28506,3.0
34,29499,3.5
34,20769,4.0
34,18997,4.5
34,15573,5.0
34,9047,5.5
34,7415,6.0
34,8915,6.5
34,8449,7.0
34,4299,7.5
34,5022,8.0
34,2611,8.5
34,2540,9.0
34,756,9.5
34,350,10.0
34,817,11.0
34,322,11.5
34,272,12.0
34,344,12.5
34,255,13.5
34,217,14.0
35,41061,0.0
35,173580,0.5
35,52715,1.0
35,23366,1.5
35,8046,2.0
35,7810,2.5
35,1733,3.0
35,1794,3.5
35,1493,4.0
35,518,5.0
36,40508,0.0
36,153268,0.5
36,91035,1.0
36,47838,1.5
36,28897,2.0
36,18215,2.5
36,17794,3.0
36,17328,3.5
36,14054,4.0
36,10183,4.5
36,7432,5.0
36,5180,5.5
36,6193,6.0
36,3259,6.5
36,4304,7.0
36,2585,7.5
36,500,8.0
37,34887,0.0
37,186711,0.5
37,87660,1.0
37,6847,1.5
37,359,2.0
38,58323,0.0
38,208894,0.5
38,118429,1.0
38,63244,1.5
38,29532,2.0
38,13512,2.5
38,7777,3.0
38,1559,3.5
38,2741,4.0
38,2107,4.5
38,1579,5.0
38,2247,5.5
38,1782,6.0
38,1182,6.5
38,2905,7.0
38,533,7.5
38,258,8.0
38,634,8.5
38,221,9.0
38,385,10.5
38,118,11.0
38,839,11.5
38,176,12.5
38,272,13.0
38,148,15.0
38,298,15.5
39,57859,0.0
39,226185,0.5
39,55038,1.0
39,3232,1.5
39,745,2.0
40,37384,0.0
40,130566,0.5
40,63526,1.0
40,14267,1.5
40,15267,2.0
40,10983,2.5
40,13242,3.0
40,11068,3.5
40,9407,4.0
40,8642,4.5
40,6529,5.0
40,6745,5.5
40,4956,6.0
40,1485,6.5
40,1762,7.0
40,531,8.0
40,325,9.5
41,43455,0.0
41,197129,0.5
41,139741,1.0
41,59793,1.5
41,22513,2.0
41,20470,2.5
41,17641,3.0
41,14678,3.5
41,11012,4.0
41,9842,4.5
41,6316,5.0
41,5010,5.5
41,3120,6.0
41,3421,6.5
41,1987,7.0
41,722,8.0
41,724,8.5
42,70705,0.0
42,217613,0.5
42,34382,1.0
42,2085,1.5
42,1892,2.0
42,1756,2.5
43,136167,0.0
43,592052,0.5
43,351811,1.0
43,133935,1.5
43,68617,2.0
43,42480,2.5
43,41223,3.0
43,29845,3.5
43,21285,4.0
43,9726,4.5
43,6900,5.0
43,4600,5.5
43,1005,6.0
43,689,6.5
43,198,7.0
43,2103,7.5
43,515,8.0
44,35466,0.0
44,138705,0.5
44,64037,1.0
44,24787,1.5
44,1972,2.0
44,300,2.5
45,58636,0.0
45,258171,0.5
45,136916,1.0
45,59009,1.5
45,39521,2.0
45,37313,2.5
45,24067,3.0
45,19892,3.5
45,19175,4.0
45,8985,4.5
45,6387,5.0
45,4200,5.5
45,1219,6.0
45,1214,6.5
45,374,7.0
45,776,7.5
45,2414,8.0
45,697,8.5
45,597,9.0
45,208,9.5
46,51992,0.0
46,165810,0.5
46,49090,1.0
46,7911,1.5
47,63888,0.0
47,202818,0.5
47,2303,1.0
48,6242,0.0
48,48380,0.5
48,37428,1.0
48,23568,1.5
48,6430,2.0
48,3464,2.5
48,837,3.0
48,179,3.5
49,33199,0.0
49,133684,0.5
49,29892,1.0
49,619,1.5
49,969,2.0
50,93277,0.0
50,457242,0.5
50,365101,1.0
50,178133,1.5
50,78211,2.0
50,57189,2.5
50,29078,3.0
50,33309,3.5
50,21428,4.0
50,12807,4.5
50,6832,5.0
50,5862,5.5
50,4611,6.0
50,3818,6.5
50,1726,7.0
50,2072,7.5
50,1449,8.0
50,581,8.5
50,317,9.0
51,51000,0.0
51,196153,0.5
51,25711,1.0
52,23248,0.0
52,111159,0.5
52,89826,1.0
52,20106,1.5
52,2791,2.0
53,11113,0.0
53,50677,0.5
53,23962,1.0
53,4534,1.5
53,1605,2.0
53,602,3.5
54,25572,0.0
54,145299,0.5
54,67595,1.0
54,9401,1.5
54,705,2.0
54,513,2.5
55,13435,0.0
55,35189,0.5
55,19381,1.0
55,16748,1.5
55,18961,2.0
55,16457,2.5
55,8460,3.0
55,7140,3.5
55,13253,4.0
55,8968,4.5
55,10110,5.0
55,4789,5.5
55,7501,6.0
55,3904,6.5
55,1538,7.0
55,1503,7.5
55,146,8.0
55,167,8.5
55,449,9.0
56,89911,0.0
56,446710,0.5
56,371734,1.0
56,149361,1.5
56,54904,2.0
56,17581,2.5
56,8592,3.0
56,10230,3.5
56,9389,4.0
56,5284,4.5
56,2475,5.0
56,168,5.5
57,41246,0.0
57,179176,0.5
57,72814,1.0
57,3207,1.5
57,967,2.0
57,325,2.5
58,42399,0.0
58,189542,0.5
58,36829,1.0
59,18712,0.0
59,59421,0.5
59,36654,1.0
59,15732,1.5
59,15732,2.0
59,8659,2.5
59,7736,3.0
59,6771,3.5
59,2335,4.0
59,1291,4.5
59,1421,5.0
59,255,5.5
59,1176,6.0
60,68613,0.0
60,156073,0.5
60,3006,1.0
61,43693,0.0
61,106135,0.5
61,7883,1.0
62,172424,0.0
62,656547,0.5
62,322377,1.0
62,146251,1.5
62,73978,2.0
62,50893,2.5
62,37456,3.0
62,31668,3.5
62,15355,4.0
62,13592,4.5
62,2678,5.0
62,1371,5.5
62,129,6.0
63,31712,0.0
63,166013,0.5
63,62065,1.0
63,10865,1.5
64,24405,0.0
64,120688,0.5
64,22712,1.0
64,4258,1.5
64,1462,2.0
65,38825,0.0
65,184687,0.5
65,144094,1.0
65,50304,1.5
65,12104,2.0
65,3002,2.5
65,1305,3.0
66,9088,0.0
66,56415,0.5
66,57753,1.0
66,20243,1.5
66,2190,2.0
66,267,2.5
66,1275,3.0
67,49488,0.0
67,204481,0.5
67,84039,1.0
67,4747,1.5
68,129559,0.0
68,545265,0.5
68,277063,1.0
68,102953,1.5
68,55516,2.0
68,28699,2.5
68,13310,3.0
68,15516,3.5
68,10561,4.0
68,3686,4.5
68,4398,5.0
68,1152,5.5
68,806,6.0
68,569,6.5
68,303,7.0
68,377,7.5
68,939,8.0
68,196,9.0
68,568,9.5
68,255,11.5
69,79240,0.0
69,402674,0.5
69,220785,1.0
69,46327,1.5
69,14946,2.0
69,7270,2.5
69,4780,3.0
69,2884,3.5
69,262,4.5
70,62751,0.0
70,208802,0.5
70,68364,1.0
70,4421,1.5
71,74354,0.0
71,299935,0.5
71,186423,1.0
71,102076,1.5
71,49143,2.0
71,31188,2.5
71,27073,3.0
71,18190,3.5
71,14910,4.0
71,12740,4.5
71,12008,5.0
71,14128,5.5
71,6067,6.0
71,2272,6.5
71,2398,7.0
71,1572,7.5
71,2362,8.0
71,1149,8.5
71,822,9.5
71,581,10.0
71,442,11.5
71,1925,12.5
71,906,13.0
71,352,13.5
72,55152,0.0
72,220729,0.5
72,37462,1.0
73,59619,0.0
73,249700,0.5
73,159770,1.0
73,75005,1.5
73,53705,2.0
73,47349,2.5
73,60252,3.0
73,55557,3.5
73,40203,4.0
73,39673,4.5
73,35797,5.0
73,27501,5.5
73,25897,6.0
73,29860,6.5
73,26247,7.0
73,25294,7.5
73,23027,8.0
73,17200,8.5
73,8599,9.0
73,8161,9.5
73,3706,10.0
73,635,10.5
73,1484,11.5
73,486,12.5
73,286,13.0
73,1139,13.5
73,660,14.0
74,62552,0.0
74,307787,0.5
74,140377,1.0
74,41597,1.5
74,8666,2.0
75,28241,0.0
75,144088,0.5
75,64841,1.0
75,7041,1.5
75,848,2.0
76,62550,0.0
76,338255,0.5
76,179896,1.0
76,37039,1.5
76,5573,2.0
76,226,2.5
77,33673,0.0
77,153537,0.5
77,68364,1.0
77,8382,1.5
77,2485,2.0
77,3981,2.5
77,1532,3.0
77,2021,3.5
77,2149,4.0
77,368,5.0
78,27570,0.0
78,138896,0.5
78,66420,1.0
78,2157,1.5
79,23246,0.0
79,81338,0.5
79,30967,1.0
79,3528,1.5
79,430,2.5
80,12965,0.0
80,74010,0.5
80,88324,1.0
80,67327,1.5
80,13160,2.0
80,1694,2.5
80,822,3.0
80,1421,3.5
80,1800,4.0
80,239,4.5
81,42247,0.0
81,207571,0.5
81,77973,1.0
81,11026,1.5
81,2545,2.0
81,488,2.5
81,1199,3.0
81,1004,3.5
82,65398,0.0
82,248454,0.5
82,18965,1.0
83,67457,0.0
83,311887,0.5
83,149100,1.0
83,54962,1.5
83,45746,2.0
83,54315,2.5
83,40719,3.0
83,31368,3.5
83,27231,4.0
83,22260,4.5
83,19532,5.0
83,11677,5.5
83,13163,6.0
83,8467,6.5
83,9458,7.0
83,3565,7.5
83,4339,8.0
83,2099,8.5
83,2241,9.0
83,1958,9.5
83,2483,10.0
83,639,10.5
83,312,11.0
84,18469,0.0
84,88912,0.5
84,69823,1.0
84,36094,1.5
84,22403,2.0
84,8535,2.5
84,3281,3.0
84,3250,3.5
84,737,4.0
85,17887,0.0
85,78715,0.5
85,29931,1.0
85,8784,1.5
85,9091,2.0
85,5923,2.5
85,6841,3.0
85,4828,3.5
85,4983,4.0
85,1523,4.5
85,944,5.0
85,370,6.0
86,21161,0.0
86,97894,0.5
86,50864,1.0
86,17802,1.5
86,12249,2.0
86,4116,2.5
86,2870,3.0
86,491,3.5
86,611,4.0
86,624,4.5
86,877,5.0
86,385,5.5
87,36043,0.0
87,112396,0.5
87,45339,1.0
87,8397,1.5
87,319,2.0
88,47910,0.0
88,202963,0.5
88,93377,1.0
88,41473,1.5
88,30727,2.0
88,24366,2.5
88,24372,3.0
88,22995,3.5
88,23600,4.0
88,19520,4.5
88,12798,5.0
88,12252,5.5
88,11587,6.0
88,7045,6.5
88,8257,7.0
88,4783,7.5
88,4546,8.0
88,3282,8.5
88,2522,9.0
88,1314,9.5
88,1097,10.0
88,285,10.5
88,728,11.0
88,222,11.5
88,256,12.0
89,63150,0.0
89,279554,0.5
89,194912,1.0
89,65278,1.5
89,26523,2.0
89,18809,2.5
89,18970,3.0
89,18256,3.5
89,11800,4.0
89,8431,4.5
89,4600,5.0
89,5229,5.5
89,2383,6.0
89,1246,6.5
89,465,7.5
89,987,8.0
89,825,8.5
89,950,9.0
89,326,9.5
89,332,10.5
90,39191,0.0
90,132000,0.5
90,65935,1.0
90,20257,1.5
90,10114,2.0
90,8971,2.5
90,5465,3.0
90,5707,3.5
90,6464,4.0
90,5679,4.5
90,4428,5.0
90,3789,5.5
90,3000,6.0
90,2619,6.5
90,3254,7.0
90,2332,7.5
90,1738,8.0
90,1397,8.5
90,158,9.0
90,869,9.5
90,487,10.0
90,1329,10.5
90,419,11.0
90,714,11.5
90,982,12.0
90,331,12.5
91,56695,0.0
91,196657,0.5
91,58402,1.0
91,7147,1.5
92,95053,0.0
92,405388,0.5
92,173930,1.0
92,66642,1.5
92,25673,2.0
92,11948,2.5
92,7551,3.0
92,5231,3.5
92,4401,4.0
92,4602,4.5
92,2173,5.0
92,1493,5.5
92,938,6.0
92,706,6.5
92,119,7.0
93,23470,0.0
93,124138,0.5
93,75352,1.0
93,10652,1.5
93,2500,2.0
93,892,2.5
93,266,3.5
94,66918,0.0
94,267562,0.5
94,173258,1.0
94,64085,1.5
94,45152,2.0
94,34570,2.5
94,37087,3.0
94,32850,3.5
94,31550,4.0
94,19467,4.5
94,17300,5.0
94,17205,5.5
94,10330,6.0
94,5015,6.5
94,7705,7.0
94,7092,7.5
94,1569,8.0
94,206,8.5
94,1181,9.0
94,1656,9.5
94,1455,10.0
94,999,10.5
95,14407,0.0
95,98830,0.5
95,60544,1.0
95,6645,1.5
95,1999,2.0
95,2242,2.5
95,1930,3.0
95,863,3.5
95,882,4.0
95,575,4.5
95,319,5.0
95,682,5.5
95,539,6.0
95,1268,6.5
95,1706,7.0
95,252,8.0
95,297,8.5
96,46585,0.0
96,166327,0.5
96,42816,1.0
96,6984,1.5
97,22334,0.0
97,97163,0.5
97,33662,1.0
97,10030,1.5
97,6805,2.0
97,506,2.5
97,548,3.0
98,41774,0.0
98,140142,0.5
98,23810,1.0
98,5110,1.5
98,922,2.0
99,20451,0.0
99,99692,0.5
99,32935,1.0
99,8661,1.5
100,57556,0.0
100,201257,0.5
100,37056,1.0
100,924,1.5
101,24327,0.0
101,74869,0.5
101,24843,1.0
101,7528,1.5
101,2504,2.0
101,624,2.5
101,580,3.0
102,33341,0.0
102,132835,0.5
102,27781,1.0
102,773,1.5
103,32696,0.0
103,153139,0.5
103,38942,1.0
103,2634,1.5
103,408,2.0
104,22737,0.0
104,127909,0.5
104,66732,1.0
104,32022,1.5
104,9349,2.0
104,1250,2.5
104,787,3.0
105,3054,0.0
105,13300,0.5
105,3117,1.0
105,1573,1.5
105,3511,2.0
105,3104,2.5
105,1752,3.0
105,1793,3.5
105,2989,4.0
105,835,4.5
105,1253,5.0
105,332,5.5
105,383,6.0
105,760,6.5
105,290,7.0
106,39775,0.0
106,158806,0.5
106,44545,1.0
106,2364,1.5
106,124,2.0
107,56513,0.0
107,250201,0.5
107,62146,1.0
107,3311,1.5
108,16636,0.0
108,89499,0.5
108,95081,1.0
108,45943,1.5
108,20000,2.0
108,10845,2.5
108,10468,3.0
108,4058,3.5
109,69030,0.0
109,355876,0.5
109,250007,1.0
109,110170,1.5
109,33141,2.0
109,23088,2.5
109,9038,3.0
109,1477,3.5
109,393,4.0
109,157,4.5
109,348,5.0
109,348,5.5
110,26199,0.0
110,98518,0.5
110,53535,1.0
110,25241,1.5
110,13937,2.0
110,20325,2.5
110,12522,3.0
110,9057,3.5
110,12805,4.0
110,7661,4.5
110,9568,5.0
110,4147,5.5
110,4715,6.0
110,3083,6.5
110,2611,7.0
110,2513,7.5
110,2655,8.0
110,363,8.5
110,486,9.0
110,132,10.0
110,550,10.5
110,536,12.0
110,221,14.5
111,13265,0.0
111,72454,0.5
111,52500,1.0
111,4672,1.5
111,1880,2.0
111,963,2.5
112,27297,0.0
112,98113,0.5
112,58226,1.0
112,19821,1.5
112,5003,2.0
112,406,2.5
112,968,3.0
112,611,3.5
113,46758,0.0
113,182481,0.5
113,98402,1.0
113,51629,1.5
113,36248,2.0
113,32661,2.5
113,27007,3.0
113,22344,3.5
113,17638,4.0
113,9238,4.5
113,11173,5.0
113,6376,5.5
113,2378,6.0
113,272,6.5
113,376,7.0
113,239,8.5
113,170,9.5
114,25154,0.0
114,142067,0.5
114,55651,1.0
114,21577,1.5
114,6854,2.0
114,6588,2.5
114,2123,3.0
114,3273,3.5
114,3663,4.0
114,2688,4.5
114,792,5.0
114,1975,5.5
114,1340,6.0
114,916,6.5
115,18100,0.0
115,84298,0.5
115,43736,1.0
115,2418,1.5
115,119,2.0
116,30855,0.0
116,184695,0.5
116,107299,1.0
116,30217,1.5
116,6912,2.0
116,374,2.5
117,17021,0.0
117,102410,0.5
117,55583,1.0
117,3688,1.5
118,77205,0.0
118,219359,0.5
118,12337,1.0
119,22838,0.0
119,99596,0.5
119,48581,1.0
119,6470,1.5
119,127,2.0
120,61261,0.0
120,320716,0.5
120,218506,1.0
120,79144,1.5
120,49618,2.0
120,35836,2.5
120,32511,3.0
120,26134,3.5
120,10721,4.0
120,10478,4.5
120,6628,5.0
120,4717,5.5
120,789,6.0
120,1874,6.5
120,1062,7.5
120,535,8.0
120,1363,8.5
120,669,9.0
121,36806,0.0
121,165333,0.5
121,81750,1.0
121,3847,1.5
121,997,2.0
122,18323,0.0
122,108777,0.5
122,51088,1.0
122,9004,1.5
122,2617,2.0
122,2435,2.5
122,813,3.0
122,1509,3.5
122,237,4.0
123,11571,0.0
123,80691,0.5
123,82495,1.0
123,42525,1.5
123,19097,2.0
123,11073,2.5
123,3767,3.0
123,429,3.5
124,63516,0.0
124,263941,0.5
124,143479,1.0
124,65994,1.5
124,46267,2.0
124,33255,2.5
124,36952,3.0
124,27768,3.5
124,17772,4.0
124,17448,4.5
124,11669,5.0
124,5786,5.5
124,3509,6.0
124,3202,6.5
124,1337,7.0
125,22118,0.0
125,135621,0.5
125,91538,1.0
125,25982,1.5
125,1891,2.0
126,95490,0.0
126,457347,0.5
126,323700,1.0
126,137604,1.5
126,87663,2.0
126,38702,2.5
126,23060,3.0
126,15613,3.5
126,14255,4.0
126,6746,4.5
126,4229,5.0
126,2017,5.5
126,540,6.0
126,1050,6.5
126,311,7.0
127,24879,0.0
127,133537,0.5
127,33545,1.0
127,5776,1.5
127,1748,2.0
127,660,2.5
128,34900,0.0
128,133692,0.5
128,36100,1.0
128,6959,1.5
128,2342,2.0
128,1649,2.5
128,591,3.0
128,927,3.5
129,22201,0.0
129,108546,0.5
129,77785,1.0
129,20911,1.5
129,313,2.5
130,14438,0.0
130,87575,0.5
130,44007,1.0
130,14268,1.5
130,4251,2.0
130,1833,2.5
130,821,3.0
130,1246,4.0
130,436,4.5
130,1013,5.0
130,247,5.5
130,688,6.0
130,336,7.0
131,21933,0.0
131,87373,0.5
131,35968,1.0
131,14617,1.5
131,4267,2.0
131,1026,3.5
132,8982,0.0
132,49594,0.5
132,44988,1.0
132,21106,1.5
132,7815,2.0
132,533,2.5
132,355,3.0
133,63696,0.0
133,207319,0.5
133,24221,1.0
134,26608,0.0
134,146845,0.5
134,61962,1.0
134,6645,1.5
134,2052,2.0
135,28778,0.0
135,149025,0.5
135,109367,1.0
135,53390,1.5
135,25058,2.0
135,15620,2.5
135,4326,3.0
135,2407,3.5
135,623,4.0
135,726,4.5
136,33839,0.0
136,168485,0.5
136,67094,1.0
136,6393,1.5
136,284,2.0
137,53070,0.0
137,221824,0.5
137,39418,1.0
137,3371,1.5
138,71436,0.0
138,218282,0.5
138,24826,1.0
139,20222,0.0
139,113184,0.5
139,66512,1.0
139,15412,1.5
139,7462,2.0
139,3456,2.5
139,321,3.0
140,45528,0.0
140,207881,0.5
140,128198,1.0
140,80444,1.5
140,50788,2.0
140,31253,2.5
140,28115,3.0
140,26587,3.5
140,19924,4.0
140,14747,4.5
140,8677,5.0
140,7261,5.5
140,3205,6.0
140,4076,6.5
140,1978,7.0
140,1038,7.5
140,1121,8.0
140,650,8.5
140,619,9.0
140,891,10.0
140,632,10.5
141,11818,0.0
141,48869,0.5
141,28792,1.0
141,17864,1.5
141,15939,2.0
141,7477,2.5
141,5995,3.0
141,4618,3.5
141,6159,4.0
141,1863,4.5
141,928,5.0
141,1617,5.5
141,355,6.0
141,662,6.5
141,550,7.0
141,1628,7.5
141,276,8.5
141,276,9.0
141,334,9.5
142,67315,0.0
142,326079,0.5
142,207272,1.0
142,87306,1.5
142,40636,2.0
142,26396,2.5
142,27038,3.0
142,22068,3.5
142,11609,4.0
142,6823,4.5
142,5312,5.0
142,2537,5.5
142,2493,6.0
142,1709,6.5
142,1663,7.0
143,93847,0.0
143,143526,0.5
143,4677,1.0
143,249,1.5
144,30273,0.0
144,147191,0.5
144,109814,1.0
144,27682,1.5
144,6547,2.0
144,515,2.5
145,39025,0.0
145,165216,0.5
145,103137,1.0
145,54821,1.5
145,24377,2.0
145,21794,2.5
145,16692,3.0
145,16586,3.5
145,13862,4.0
145,10445,4.5
145,6333,5.0
145,5808,5.5
145,3281,6.0
145,2852,6.5
145,1635,7.0
145,229,7.5
146,24055,0.0
146,93215,0.5
146,22022,1.0
146,4230,1.5
146,1780,2.0
146,1171,2.5
146,687,3.0
146,548,3.5
147,56266,0.0
147,216540,0.5
147,43549,1.0
147,3892,1.5
147,653,2.0
148,14469,0.0
148,75371,0.5
148,45879,1.0
148,14909,1.5
148,4047,2.0
148,3894,2.5
148,1840,3.0
149,34304,0.0
149,179110,0.5
149,51905,1.0
149,2186,1.5
150,31100,0.0
150,160998,0.5
150,169695,1.0
150,90531,1.5
150,41147,2.0
150,23197,2.5
150,17371,3.0
150,14973,3.5
150,10690,4.0
150,5952,4.5
150,4351,5.0
150,4671,5.5
150,2683,6.0
150,474,6.5
150,760,7.0
151,26835,0.0
151,131292,0.5
151,49157,1.0
151,8769,1.5
151,6256,2.0
151,1340,2.5
151,1048,3.0
151,295,3.5
151,411,4.0
151,1180,4.5
151,737,5.0
