authority,population,distance
1,25028,0.0
1,114079,0.5
1,53283,1.0
1,7480,1.5
1,2109,2.0
2,58522,0.0
2,260634,0.5
2,86621,1.0
2,3211,1.5
2,571,2.0
3,24636,0.0
3,110683,0.5
3,67641,1.0
3,25259,1.5
3,5323,2.0
3,2421,2.5
3,2261,3.0
3,720,4.0
3,375,5.0
4,21974,0.0
4,95251,0.5
4,41284,1.0
4,28022,1.5
4,17892,2.0
4,8662,2.5
4,5266,3.0
4,4082,3.5
4,1971,4.0
4,1561,4.5
4,1670,5.0
4,286,5.5
4,646,6.0
4,1496,6.5
4,276,7.0
4,354,7.5
4,184,8.5
5,8427,0.0
5,60593,0.5
5,45159,1.0
5,17527,1.5
5,5894,2.0
5,4473,2.5
5,3324,3.0
5,4213,3.5
5,4129,4.0
5,1371,4.5
5,3656,5.0
5,1369,5.5
5,509,6.0
5,968,6.5
5,2005,7.0
5,268,7.5
5,675,8.0
5,341,8.5
5,571,9.0
5,385,9.5
5,395,10.5
6,32280,0.0
6,172091,0.5
6,123551,1.0
6,33062,1.5
6,160,2.0
7,112542,0.0
7,653434,0.5
7,305211,1.0
7,38112,1.5
7,2008,2.0
8,8695,0.0
8,68329,0.5
8,43157,1.0
8,19683,1.5
8,3111,2.0
8,930,3.5
8,1046,4.0
8,1085,4.5
8,810,5.0
9,22124,0.0
9,87030,0.5
9,29425,1.0
9,999,1.5
10,22666,0.0
10,108969,0.5
10,94341,1.0
10,38518,1.5
10,14479,2.0
10,2646,2.5
11,39142,0.0
11,129550,0.5
11,25562,1.0
11,262,1.5
12,17216,0.0
12,70209,0.5
12,27039,1.0
12,2763,1.5
12,1469,2.0
12,286,2.5
13,82267,0.0
13,296621,0.5
13,127398,1.0
13,24630,1.5
13,8353,2.0
13,7291,2.5
13,4077,3.0
13,479,4.0
13,375,5.0
14,44616,0.0
14,215042,0.5
14,128381,1.0
14,28555,1.5
14,3063,2.0
15,34415,0.0
15,179053,0.5
15,64379,1.0
15,7429,1.5
16,89547,0.0
16,319341,0.5
16,67029,1.0
16,897,1.5
17,33157,0.0
17,172834,0.5
17,94428,1.0
17,17217,1.5
17,5959,2.0
17,917,2.5
17,345,3.0
18,38975,0.0
18,186925,0.5
18,141542,1.0
18,69311,1.5
18,45492,2.0
18,34037,2.5
18,16998,3.0
18,7871,3.5
18,4760,4.0
18,8124,4.5
18,5427,5.0
18,3564,5.5
18,2260,6.0
18,1306,6.5
18,1016,7.0
18,287,7.5
18,650,8.0
19,23097,0.0
19,114229,0.5
19,42371,1.0
19,7289,1.5
19,898,2.0
20,35290,0.0
20,118643,0.5
20,37166,1.0
20,9696,1.5
20,4342,2.0
20,1805,2.5
20,708,3.0
20,389,3.5
20,363,4.0
21,61082,0.0
21,246506,0.5
21,132443,1.0
21,68021,1.5
21,52365,2.0
21,41448,2.5
21,26704,3.0
21,23880,3.5
21,17809,4.0
21,12460,4.5
21,10499,5.0
21,9749,5.5
21,9469,6.0
21,5412,6.5
21,4717,7.0
21,3529,7.5
21,2399,8.0
21,768,8.5
21,1233,9.0
21,852,9.5
21,154,10.0
21,563,10.5
21,295,11.0
22,74900,0.0
22,201528,0.5
22,15043,1.0
23,23714,0.0
23,96622,0.5
23,66904,1.0
23,27434,1.5
23,18416,2.0
23,17035,2.5
23,15747,3.0
23,8004,3.5
23,2343,4.0
23,2876,4.5
23,1182,5.0
23,3872,5.5
23,1634,6.0
23,2845,6.5
23,284,7.0
24,23128,0.0
24,130670,0.5
24,107921,1.0
24,59222,1.5
24,19699,2.0
24,12851,2.5
24,9448,3.0
24,5291,3.5
24,2253,4.0
24,3620,4.5
24,3942,5.0
24,1856,5.5
24,1283,6.0
24,2155,6.5
24,576,7.0
24,589,7.5
24,281,8.5
25,38280,0.0
25,154971,0.5
25,67649,1.0
25,28518,1.5
25,18836,2.0
25,12426,2.5
25,6566,3.0
25,2684,3.5
25,343,4.0
25,1446,4.5
25,1083,5.0
25,1115,5.5
26,7126,0.0
26,1634,0.5
27,55625,0.0
27,175770,0.5
27,104590,1.0
27,58053,1.5
27,60154,2.0
27,47562,2.5
27,36437,3.0
27,38931,3.5
27,24049,4.0
27,22006,4.5
27,14309,5.0
27,7242,5.5
27,3880,6.0
27,3670,6.5
27,2253,7.0
27,3046,7.5
27,570,8.0
27,721,8.5
27,325,9.0
28,54069,0.0
28,217105,0.5
28,65798,1.0
28,7142,1.5
28,1271,2.0
29,42131,0.0
29,220055,0.5
29,100533,1.0
29,15991,1.5
29,321,2.0
30,68962,0.0
30,207077,0.5
