id,name,address,postcode,bbox
2516,Marston Green,"Land Lane, Marston Green",B37 7DQ,"POLYGON((-1.77038685837263 52.4515560557724,-1.77038685837263 52.4804797352824,-1.72302967081252 52.4804797352824,-1.72302967081252 52.4515560557724,-1.77038685837263 52.4515560557724))"
112,Tower Hill Library,Tower Hill,B42 1LG,"POLYGON((-1.94378598128482 52.5191606422962,-1.94378598128482 52.5480857732646,-1.89635317241018 52.5480857732646,-1.89635317241018 52.5191606422962,-1.94378598128482 52.5191606422962))"
2419,Great Barr Library,"Birmingham Road, Great Barr",B43 6NW,"POLYGON((-1.95717395982855 52.5322221474432,-1.95717395982855 52.5611473408793,-1.90972686379478 52.5611473408793,-1.90972686379478 52.5322221474432,-1.95717395982855 52.5322221474432))"
2969,Pheasey Library,"Collingwood Centre,Collingwood Drive, Great Barr",B43 7NE,"POLYGON((-1.92854936269864 52.5423253901719,-1.92854936269864 52.5712502610141,-1.88109181660836 52.5712502610141,-1.88109181660836 52.5423253901719,-1.92854936269864 52.5423253901719))"
58,Weston,"Church St, Weston",BA1 4BU,"POLYGON((-2.41324536481053 51.3814997856796,-2.41324536481053 51.410434041313,-2.36699285789613 51.410434041313,-2.36699285789613 51.3814997856796,-2.41324536481053 51.3814997856796))"
47,Bath Central,"Podium Centre, Bath",BA1 5AN,"POLYGON((-2.38210906311506 51.3690560142103,-2.38210906311506 51.3979901598446,-2.33586937512969 51.3979901598446,-2.33586937512969 51.3690560142103,-2.38210906311506 51.3690560142103))"
51,Larkhall Community Library,"New oriel Hall, Larkhall, Bath",BA1 6RA,"POLYGON((-2.36956383429192 51.3832557721794,-2.36956383429192 51.4121897756181,-2.32330994582262 51.4121897756181,-2.32330994582262 51.3832557721794,-2.36956383429192 51.3832557721794))"
40,Penistone,"High Street, Penistone, Sheffield",S36 6BR,"POLYGON((-1.65499556975204 53.5091063309243,-1.65499556975204 53.5380234952773,-1.60646935995558 53.5380234952773,-1.60646935995558 53.5091063309243,-1.65499556975204 53.5091063309243))"
100,Perry Common Library,College Road,B44 0HH,"POLYGON((-1.90299308827548 52.5197826210181,-1.90299308827548 52.5487073530284,-1.85556025864155 52.5487073530284,-1.85556025864155 52.5197826210181,-1.90299308827548 52.5197826210181))"
96,Kingstanding Library,Kingstanding Road,B44 9ST,"POLYGON((-1.90905990966083 52.5375076692951,-1.90905990966083 52.5664323739033,-1.86160787270064 52.5664323739033,-1.86160787270064 52.5375076692951,-1.90905990966083 52.5375076692951))"
88,Frankley Library,New Street,B45 0EU,"POLYGON((-2.0403021479293 52.3904130920947,-2.0403021479293 52.4193397351756,-1.99300610331742 52.4193397351756,-1.99300610331742 52.3904130920947,-2.0403021479293 52.3904130920947))"
