OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00041378,E01008162,292,2,4,3,1,4,1,0,2,0,4,5,2,1,3,1,0,2,2,4,1,6,6,10,6,0,11,8,5,8,6,4,2,6,4,6,4,3,0,2,2,5,5,5,5,6,3,5,5,7,9,1,2,3,7,4,7,7,6,5,5,1,2,4,2,1,2,4,4,3,1,2,1,0,2,3,0,2,2,3,2,2,1,2,2,0,0,0,0,0,0,1
E00041381,E01008162,270,4,1,1,1,0,2,3,3,3,0,4,3,3,0,4,3,2,2,1,2,3,6,4,3,12,4,5,1,3,3,4,7,4,3,6,3,2,5,4,3,4,4,5,7,4,2,6,3,1,4,8,3,2,9,6,2,3,2,6,3,3,4,6,2,3,3,8,5,3,3,6,1,3,0,0,1,3,1,1,1,0,0,0,0,1,0,0,1,0,0,0
E00041382,E01008162,193,2,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,2,2,4,2,0,4,4,1,6,4,11,0,4,5,5,8,5,3,2,5,2,3,2,2,0,4,3,2,4,2,4,4,6,4,4,3,5,2,3,2,3,2,2,1,4,3,0,3,0,2,2,2,2,1,2,2,1,0,1,1,1,2,3,0,1,2,0,1,0,0,0,1
E00041383,E01008162,358,1,3,4,5,2,1,1,1,2,8,4,2,1,4,2,2,4,1,3,4,7,11,2,8,12,9,3,1,12,6,7,5,7,9,7,6,7,3,2,6,5,4,2,4,8,4,8,5,6,10,4,5,2,8,6,3,9,3,2,2,1,1,1,2,3,3,3,3,5,6,4,3,9,4,1,1,1,3,2,2,2,3,2,4,0,0,1,1,0,0,2
E00041386,E01008162,454,14,10,9,6,6,4,3,2,1,0,0,0,1,1,0,0,1,1,0,0,4,11,9,17,16,25,24,29,27,26,18,31,24,19,15,10,12,6,6,8,3,3,4,2,4,3,2,3,3,2,2,1,1,0,1,3,3,2,2,3,1,1,2,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
E00166172,E01008162,289,5,3,2,5,5,2,0,4,1,5,3,1,2,1,3,1,2,0,2,1,0,2,7,9,15,20,11,20,16,19,19,5,11,11,8,11,6,5,3,3,2,4,5,3,2,3,2,0,1,1,0,0,0,1,4,0,2,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
E00166174,E01008162,187,0,1,2,1,0,1,0,0,1,0,0,1,0,3,0,1,0,0,1,0,2,3,0,12,12,12,10,7,9,7,7,2,7,5,6,2,2,4,2,7,4,4,2,2,2,1,1,4,3,2,0,0,2,3,3,0,1,1,0,2,5,0,1,1,0,4,0,0,1,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
E00166175,E01008162,248,1,3,4,1,0,1,2,1,1,2,4,1,2,1,0,1,0,0,3,0,7,4,10,14,16,15,12,14,11,11,19,7,8,10,10,3,3,4,4,2,5,1,1,5,3,1,1,1,3,2,2,0,0,0,2,3,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00166187,E01008162,237,4,2,3,5,5,3,2,4,2,1,2,1,5,1,0,1,2,2,1,1,5,6,7,7,2,8,6,6,12,14,12,12,6,3,3,3,3,6,7,10,4,7,2,2,1,4,5,0,2,1,3,1,1,4,4,1,2,0,1,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00166188,E01008162,180,1,3,2,2,4,2,3,2,2,1,2,1,1,3,1,0,2,3,0,1,2,1,0,6,5,4,1,5,3,2,4,8,7,2,3,4,4,1,2,3,2,3,0,1,1,2,3,1,1,1,2,2,2,4,2,5,1,6,3,1,2,1,6,2,2,3,2,1,2,1,0,0,1,1,0,2,2,1,0,2,1,0,0,0,1,0,1,0,0,0,0
