OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00045125,E01008884,376,7,8,13,11,8,8,8,9,8,7,6,5,6,7,6,6,4,1,5,7,5,4,4,5,3,4,5,6,8,7,9,5,6,11,3,4,9,6,7,9,7,4,6,4,5,4,1,3,4,5,8,5,4,4,6,2,2,3,3,3,2,2,1,1,1,0,1,2,2,2,0,2,1,0,1,2,1,1,0,1,1,1,0,0,2,1,1,1,2,0,1
E00045129,E01008884,483,12,8,12,10,9,9,9,10,14,11,8,15,7,5,5,9,7,8,8,5,3,7,5,8,6,7,16,10,6,8,8,6,8,8,6,10,7,6,5,9,6,5,4,6,8,8,5,9,9,7,6,5,7,9,4,1,5,7,6,3,4,2,1,2,0,1,3,1,1,0,1,0,0,0,1,0,1,1,1,2,1,0,4,2,0,1,0,1,0,1,1
E00045131,E01008884,489,11,8,13,11,15,10,10,6,7,9,14,11,7,5,6,6,7,7,9,8,5,10,3,5,12,7,13,11,5,8,12,8,13,10,13,8,8,5,5,8,14,7,6,11,4,2,4,6,5,5,4,5,3,1,3,6,6,4,1,2,2,3,1,2,2,1,1,1,2,1,3,1,2,1,1,0,2,2,5,2,2,0,0,1,1,0,1,0,0,0,1
E00045134,E01008884,406,15,7,14,8,7,10,10,7,10,8,11,4,4,8,6,3,5,7,10,10,6,5,6,8,6,3,9,7,7,7,5,11,8,6,10,4,8,3,3,5,6,8,10,8,3,2,8,2,5,1,3,4,3,1,3,3,2,7,1,3,3,1,1,1,1,3,0,1,1,1,2,2,1,0,1,1,2,1,1,2,0,0,1,0,2,0,2,1,0,0,0
E00045135,E01008884,302,5,6,9,2,8,8,3,10,3,7,5,7,4,4,2,2,6,5,1,1,1,0,6,4,2,6,4,6,8,7,6,2,9,5,7,7,2,1,6,6,1,3,5,4,6,1,3,5,3,3,2,4,6,1,4,2,6,2,3,2,1,3,1,1,1,3,1,2,1,2,2,2,3,4,1,3,1,0,2,1,0,4,0,0,2,1,0,1,0,0,0
E00045137,E01008885,345,5,6,9,5,9,8,5,8,4,9,4,5,6,3,6,5,2,5,3,6,4,6,3,5,4,5,5,5,5,2,5,5,4,4,4,2,3,5,7,1,3,2,5,7,4,2,8,4,2,3,9,5,5,11,6,3,6,5,5,5,2,2,6,1,4,3,1,1,0,2,2,3,4,1,0,2,2,1,2,1,1,1,2,1,1,0,0,0,1,1,0
E00045143,E01008885,372,2,4,4,8,1,3,5,7,5,3,8,5,5,6,2,7,4,2,10,7,3,7,2,4,5,8,7,7,6,5,3,2,6,1,7,6,6,2,5,5,3,6,3,2,2,8,5,6,5,7,4,8,4,6,3,4,6,3,7,4,3,6,3,5,10,2,2,4,7,3,1,2,2,1,4,1,3,2,2,2,4,3,2,1,2,1,0,0,0,1,2
E00045146,E01008885,388,3,5,6,6,3,8,3,4,3,5,3,9,8,5,6,3,6,5,3,6,5,3,5,4,7,4,8,6,9,2,2,6,4,9,5,7,1,2,5,4,4,3,7,4,4,8,6,4,6,6,10,11,4,5,4,5,1,3,6,4,5,3,9,7,6,1,6,3,2,2,0,2,3,2,1,5,1,5,2,2,4,1,1,1,4,2,1,0,1,0,3
E00045149,E01008885,258,5,3,4,3,4,5,4,2,3,1,1,2,2,2,3,0,4,7,3,1,3,2,0,1,3,4,4,4,7,2,6,5,1,5,1,2,1,2,4,4,3,0,6,2,3,3,3,4,3,2,7,3,6,5,4,6,4,4,3,0,6,3,4,4,1,0,3,5,5,4,3,2,3,3,1,2,1,3,2,2,1,1,1,0,1,1,1,0,1,0,3
E00045130,E01008886,340,2,4,2,7,7,6,6,5,8,5,12,6,8,4,7,1,4,6,6,2,2,3,8,2,2,1,4,12,5,6,2,1,12,7,7,5,6,5,4,2,5,7,5,2,2,6,3,3,2,5,4,6,4,6,2,4,1,0,1,5,0,4,4,6,4,8,2,4,3,5,0,2,0,1,3,3,3,1,2,2,1,1,0,0,1,0,0,0,1,1,1
