OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00072586,E01014371,197,0,0,2,3,1,0,0,1,1,0,2,1,1,1,2,2,1,2,0,1,2,5,1,16,8,9,11,7,3,5,2,2,0,2,2,0,2,0,1,1,2,1,1,1,2,1,1,1,4,3,4,1,2,3,3,0,0,6,4,1,6,6,2,3,1,0,0,3,2,2,2,0,1,0,2,1,2,3,4,0,2,2,0,2,0,1,0,2,1,1,5
E00072566,E01014372,299,0,0,0,0,1,1,1,2,2,1,2,2,1,1,3,0,1,5,4,4,14,9,13,18,16,15,5,11,9,4,4,5,8,9,7,4,5,6,4,3,1,4,1,2,5,3,6,2,5,4,3,5,6,4,2,3,3,1,2,0,1,1,3,0,1,5,1,3,1,1,1,1,3,2,2,0,1,1,2,1,1,0,1,1,0,0,2,0,0,0,1
E00072577,E01014372,225,2,1,2,0,1,2,0,0,0,2,1,1,1,3,0,0,2,0,2,5,6,10,10,16,13,9,5,13,13,10,9,3,4,7,3,4,3,3,3,5,0,1,2,3,1,0,3,3,2,2,4,2,0,0,3,0,4,2,1,0,2,0,0,1,0,0,2,0,1,1,0,1,0,2,1,0,1,0,2,0,0,1,1,0,0,0,0,0,2,0,0
E00072579,E01014372,232,1,3,4,0,3,0,2,1,0,0,2,0,1,0,1,2,3,0,1,6,2,10,10,7,15,4,11,5,7,7,3,4,5,6,9,4,5,3,3,2,2,2,1,4,1,3,1,2,1,2,5,1,4,5,3,1,2,2,2,4,3,0,1,5,0,0,0,3,4,1,2,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,1,2,1
E00072580,E01014372,245,3,0,1,1,0,0,2,0,1,0,1,1,1,1,1,0,0,0,2,3,11,24,15,13,8,10,11,19,4,4,4,4,5,4,4,1,3,3,4,4,2,0,2,1,1,0,2,1,2,3,3,2,2,2,5,3,3,2,1,1,4,2,1,3,3,1,2,2,1,1,2,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,2
E00072582,E01014372,195,1,0,2,1,0,1,0,1,0,0,0,3,1,1,0,0,2,1,2,0,2,2,12,3,8,6,13,8,2,5,4,7,6,6,2,2,6,6,1,4,2,2,0,1,2,2,1,4,0,3,1,2,2,0,3,1,3,0,1,3,1,3,2,1,1,4,1,2,1,3,2,1,3,1,1,1,1,2,0,2,1,0,0,0,2,2,0,0,1,0,2
E00072583,E01014372,203,0,0,1,2,1,3,2,1,0,1,1,0,1,1,0,1,3,1,2,1,0,5,5,10,4,9,0,5,6,2,3,3,2,3,2,2,1,0,1,3,2,1,4,1,2,1,2,6,3,1,3,4,3,5,3,3,1,5,1,3,6,2,3,5,2,3,1,2,3,0,4,4,5,1,3,2,1,3,0,1,0,0,3,2,3,0,0,0,0,0,2
E00072584,E01014372,192,0,0,1,0,1,0,0,1,1,1,0,1,2,3,0,2,2,0,2,1,0,0,5,7,13,8,10,8,6,6,6,3,4,3,4,3,6,3,2,1,0,0,0,1,1,2,2,2,4,1,0,2,4,1,0,2,4,1,3,5,1,2,3,2,2,6,3,2,2,6,3,2,1,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0
E00072585,E01014372,198,2,1,1,3,0,2,1,0,0,0,2,0,2,0,0,0,3,1,2,1,7,4,6,9,5,1,8,5,5,4,4,1,2,5,4,5,2,3,1,1,1,3,4,4,5,1,2,2,2,3,3,4,3,3,4,1,1,3,3,2,1,1,2,3,4,1,2,5,2,1,0,1,1,0,2,3,1,0,1,1,1,0,0,0,0,2,0,1,1,0,4
E00072587,E01014372,218,2,2,2,1,1,1,1,0,0,1,2,0,1,0,4,4,1,2,1,1,1,5,6,5,17,13,6,3,3,8,2,1,2,4,2,3,2,3,2,0,2,1,1,2,3,0,4,2,2,2,3,5,4,3,1,4,3,2,1,1,2,2,1,3,3,3,1,3,4,4,5,3,1,2,1,3,0,3,2,2,0,0,2,0,1,0,1,0,0,0,5
E00072594,E01014373,314,6,3,3,2,3,1,4,3,6,3,4,8,6,7,3,1,6,3,7,3,2,0,5,2,4,4,4,6,5,3,6,2,2,5,1,5,7,4,4,2,6,5,6,5,11,2,5,3,5,2,4,9,8,8,5,4,2,2,3,1,6,5,1,4,4,4,1,0,3,2,4,4,4,0,2,2,3,2,0,0,1,2,2,0,1,1,0,1,0,0,4
