OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00067929,E01013455,374,6,4,1,6,1,10,7,3,5,5,3,4,2,5,2,4,5,5,7,1,6,6,8,7,10,4,13,2,7,8,6,1,4,6,4,3,4,1,4,5,5,8,3,5,5,5,5,5,7,2,2,2,7,14,4,8,5,6,1,4,2,3,2,3,4,4,0,4,3,1,3,2,6,6,2,3,0,1,1,0,1,2,2,3,1,3,0,2,4,1,7
E00067931,E01013455,269,4,1,1,5,8,9,4,5,0,1,3,1,1,1,3,1,2,3,3,5,2,0,2,3,2,4,5,8,3,6,2,3,6,2,4,5,3,9,4,1,5,4,2,5,9,6,6,2,8,1,4,2,2,1,4,5,5,1,1,2,3,2,2,0,4,7,2,4,4,1,2,2,5,2,0,1,0,1,0,1,4,1,3,0,1,1,2,1,1,1,1
E00067932,E01013455,299,2,1,3,2,3,1,5,2,0,3,1,6,1,2,4,4,6,5,1,3,6,4,3,3,9,4,2,3,5,2,3,3,2,3,4,3,7,2,0,4,5,3,4,4,1,5,5,3,8,4,5,9,8,2,6,4,8,2,4,3,6,2,5,2,4,2,5,2,4,1,3,4,3,3,3,0,0,3,6,4,7,0,0,0,1,2,1,0,2,1,3
E00067933,E01013455,382,6,3,6,3,5,7,7,7,1,7,1,4,5,4,2,9,7,4,5,2,7,3,9,4,2,5,9,3,2,5,3,2,6,5,3,2,4,0,7,2,5,6,6,6,6,7,3,8,7,7,7,9,8,5,8,5,3,5,5,6,3,2,3,4,5,8,2,4,5,4,2,4,2,3,1,7,4,0,2,3,0,0,0,6,3,1,0,2,0,1,1
E00171195,E01013455,303,2,1,4,3,1,2,2,5,4,0,3,1,1,1,2,1,3,0,4,1,7,3,1,3,4,8,9,7,13,4,4,9,4,7,0,8,4,3,3,1,2,2,4,3,3,2,6,7,5,3,4,2,1,5,4,1,6,9,4,7,4,5,2,4,4,2,3,5,2,3,2,3,2,1,3,3,2,0,0,0,0,1,1,3,5,3,2,1,3,4,7
E00171196,E01013455,365,8,4,6,12,5,10,2,8,8,6,5,3,7,3,3,7,5,3,8,1,5,5,3,2,3,4,4,4,7,5,6,6,4,6,6,7,6,5,5,6,9,6,7,8,10,4,4,8,3,2,5,4,3,1,6,3,7,6,3,8,1,4,2,1,3,2,1,1,2,2,0,0,2,2,4,3,2,2,0,1,0,3,0,2,1,1,1,0,0,0,2
E00067920,E01013456,331,4,5,5,7,7,5,2,2,5,1,1,2,0,3,1,3,1,3,2,2,5,3,6,8,14,9,8,11,10,8,5,8,7,4,5,7,5,1,6,6,5,1,4,1,3,2,8,4,7,5,4,1,4,4,4,4,3,1,5,2,3,5,4,2,4,5,3,1,3,0,5,1,6,1,4,1,0,2,1,3,1,0,1,2,0,0,1,0,0,3,0
E00067921,E01013456,333,1,5,1,3,1,4,1,5,1,3,3,1,2,2,2,1,2,1,2,6,6,10,7,12,17,10,13,9,5,11,8,11,12,10,11,5,5,6,4,5,10,5,5,4,8,6,5,5,8,1,2,5,5,2,2,0,2,4,1,3,3,1,3,0,1,1,3,1,1,1,1,0,0,1,1,1,1,0,3,0,0,0,1,0,1,0,0,0,1,0,0
E00067922,E01013456,262,7,1,3,4,3,1,1,3,1,3,2,2,1,1,1,1,4,1,0,6,4,1,6,7,10,10,11,7,10,7,2,5,3,3,4,3,4,4,3,2,2,4,0,5,3,3,5,6,2,0,4,4,7,2,0,4,1,2,2,2,5,1,4,1,0,3,3,3,3,2,2,1,1,0,1,1,2,2,1,3,0,0,1,0,1,1,2,5,0,0,3
E00067945,E01013456,385,4,12,10,6,11,1,6,5,5,2,4,3,1,2,2,1,2,2,2,6,11,15,16,10,13,14,14,10,9,14,10,14,8,6,6,9,4,3,2,10,5,2,3,1,4,5,5,2,1,5,4,5,5,4,5,4,4,5,3,4,2,4,1,0,2,3,0,1,1,0,0,0,1,0,0,1,0,0,2,0,1,2,0,1,0,0,0,0,2,0,0
E00067953,E01013456,360,8,10,11,6,4,5,8,2,6,5,2,5,3,3,1,1,3,7,5,9,9,11,13,10,3,9,7,5,7,8,4,3,6,6,3,3,3,7,3,6,4,5,1,2,2,6,2,3,8,3,7,5,2,6,4,2,3,3,1,2,2,4,2,2,2,2,1,2,2,2,1,5,1,2,3,0,2,3,1,3,0,2,3,2,4,1,3,2,0,0,0
