OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072586,E01014371,241,0,2,0,1,4,0,1,1,0,2,1,0,3,3,1,1,2,0,1,0,4,1,16,12,7,11,10,3,7,5,4,3,6,5,3,2,2,1,1,0,2,5,2,3,4,2,3,4,4,4,3,2,3,3,1,1,3,2,2,7,4,2,3,1,1,0,3,4,1,1,1,2,1,2,1,2,2,4,1,2,2,0,2,1,1,0,2,2,1,1,5
E00072566,E01014372,331,0,0,1,1,1,1,2,3,1,1,3,1,1,2,0,0,2,1,3,6,12,9,22,11,17,8,17,12,6,5,8,13,9,13,12,8,7,5,4,4,3,1,3,2,3,6,1,3,5,2,5,5,5,1,7,3,0,2,2,3,1,3,0,1,3,0,5,2,2,2,1,4,1,2,0,1,1,1,1,1,0,1,1,0,0,2,0,0,0,0,1
E00072577,E01014372,276,2,1,1,2,3,0,0,0,2,0,1,1,3,0,0,2,1,0,1,0,7,15,16,18,8,12,13,12,16,10,10,9,6,6,8,7,6,5,5,4,3,3,5,1,1,2,4,2,2,3,5,1,0,3,1,4,1,1,0,3,0,1,1,1,0,2,0,1,1,0,1,0,2,1,0,1,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0
E00072579,E01014372,218,3,5,0,2,1,2,2,0,0,2,1,1,0,2,2,2,0,0,2,0,1,6,7,9,8,6,8,6,6,5,5,4,8,9,5,4,3,4,3,1,2,2,3,0,3,5,3,0,2,2,0,2,7,3,1,2,2,2,3,4,0,1,4,0,0,1,5,4,1,4,1,2,0,0,1,1,0,0,0,0,3,0,0,0,0,2,0,1,2,0,2
E00072580,E01014372,224,0,1,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,18,9,14,6,17,8,18,5,6,6,5,3,2,3,3,3,2,5,5,3,0,2,2,4,0,3,2,2,3,2,2,4,2,3,2,3,3,2,0,4,2,2,3,2,1,2,3,1,1,2,2,1,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,1,1
E00072582,E01014372,182,0,1,2,1,0,0,1,0,0,0,3,1,1,0,0,1,1,2,1,1,3,4,13,7,3,8,6,1,3,4,4,6,4,7,2,4,4,1,3,2,4,1,0,3,4,3,3,0,4,2,3,2,0,4,2,2,0,1,3,0,2,3,1,1,4,3,3,0,3,2,0,3,0,1,1,0,1,0,2,1,0,0,0,2,1,0,0,1,0,0,1
E00072583,E01014372,218,0,0,0,0,3,2,1,0,1,1,0,0,1,0,1,4,2,2,0,0,6,2,9,6,8,1,6,4,5,4,4,2,6,2,1,2,2,1,4,2,0,2,0,5,1,3,5,2,2,3,2,5,5,4,5,2,6,1,4,6,3,1,4,2,4,1,1,4,0,5,4,5,0,3,3,2,3,0,2,0,0,3,2,4,0,0,0,0,0,0,4
E00072584,E01014372,218,0,1,0,1,0,1,1,1,2,1,1,1,2,1,1,2,0,3,0,0,2,3,9,10,11,13,11,10,5,7,5,4,4,4,7,4,3,3,1,1,1,0,4,2,3,3,2,4,0,1,2,4,1,3,3,3,1,3,4,1,2,1,2,2,5,2,2,1,5,3,3,1,0,0,1,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
E00072585,E01014372,213,2,1,2,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,3,1,4,10,11,5,8,6,8,3,4,1,2,8,2,6,4,3,4,1,2,4,4,2,6,2,2,3,3,4,5,4,1,2,2,2,3,4,4,1,1,2,2,3,4,1,1,5,2,3,1,1,1,1,2,1,1,0,1,1,1,0,2,0,0,1,0,1,2,0,1,2
E00072587,E01014372,221,2,0,0,0,2,1,0,0,1,1,0,1,0,3,3,1,2,1,1,1,10,4,6,10,9,2,6,7,10,3,3,2,3,2,6,2,3,1,1,3,2,2,0,2,3,4,3,4,3,3,5,7,3,1,4,4,1,2,1,2,2,1,4,2,3,1,2,4,4,4,2,1,4,1,2,0,2,2,1,0,0,1,1,2,0,1,0,0,0,0,5
E00072594,E01014373,333,5,3,3,3,2,4,3,6,4,5,7,5,9,3,1,6,2,8,3,3,0,5,3,4,3,4,7,4,3,3,2,3,4,0,3,6,5,6,3,2,4,8,6,13,1,7,4,9,0,3,10,8,8,4,5,4,3,4,3,4,5,2,5,7,5,1,2,4,1,3,5,5,0,2,2,4,3,0,0,1,2,2,0,2,1,0,1,0,0,0,5
E00072595,E01014373,308,2,4,3,5,3,3,7,6,4,4,4,4,4,8,5,4,5,2,2,7,1,4,5,3,1,6,5,4,3,2,2,5,4,4,4,0,6,3,5,2,6,2,7,5,6,5,3,6,6,5,6,7,3,8,7,3,5,4,4,1,5,3,3,3,1,4,1,2,0,1,3,2,3,1,0,0,1,0,2,0,1,1,2,3,3,0,3,0,4,0,2
E00072597,E01014373,320,3,2,4,4,5,4,8,7,4,6,5,4,3,5,5,2,5,7,3,2,1,3,4,1,3,3,3,3,4,4,2,3,4,4,4,4,2,6,3,9,4,4,7,5,9,4,7,1,7,5,5,4,6,4,4,4,5,3,2,3,2,2,2,3,0,2,2,8,7,2,7,2,3,2,4,0,1,1,2,3,3,0,1,1,4,0,1,0,2,1,1
E00072599,E01014373,342,3,7,6,4,5,3,6,8,8,6,2,9,4,4,5,3,7,6,2,5,4,2,5,1,2,3,3,3,2,5,4,2,5,4,5,6,8,8,7,7,10,3,4,6,5,2,4,6,4,2,6,8,3,5,5,2,5,2,3,2,4,2,2,6,1,3,4,3,2,2,3,1,0,5,4,1,1,2,1,1,1,2,0,1,2,2,1,1,0,0,8
E00072602,E01014373,354,5,1,6,3,6,5,6,6,6,6,8,8,3,9,2,4,5,3,3,3,1,3,2,5,0,3,0,4,2,1,3,1,7,4,2,4,2,4,4,3,5,5,5,7,6,3,4,6,8,4,7,11,2,5,12,3,5,2,8,9,2,7,6,3,4,5,3,6,2,7,3,6,2,2,1,2,2,3,4,1,2,0,3,3,1,1,1,1,0,0,1
E00072593,E01014374,277,0,2,1,3,2,3,4,2,3,2,2,4,6,4,3,5,3,2,3,5,1,2,1,4,1,1,0,1,0,3,1,2,4,2,0,0,2,3,2,2,3,2,3,3,6,4,4,5,6,3,7,3,3,1,1,3,2,3,7,6,5,6,3,0,2,1,1,2,6,3,5,1,6,5,5,5,5,3,7,2,2,1,1,1,2,2,2,5,0,3,19
E00072600,E01014374,369,0,4,5,6,4,6,2,7,9,3,3,4,5,3,5,3,6,4,2,5,1,2,4,3,1,4,4,3,1,1,0,1,3,2,1,5,3,3,2,2,2,2,9,6,2,8,5,5,6,4,8,4,5,6,5,4,2,9,0,6,1,5,6,5,9,7,6,1,5,1,5,5,3,3,2,4,11,4,5,6,2,4,6,5,2,2,2,1,4,0,17
E00072601,E01014374,250,1,2,0,3,7,0,2,3,1,1,0,0,4,2,4,5,3,2,2,1,2,0,3,4,4,2,3,1,2,2,1,0,3,2,3,4,4,3,4,2,7,1,1,4,2,4,4,1,6,7,3,6,4,1,0,6,4,4,2,0,5,6,6,3,1,1,3,9,7,1,1,8,3,1,1,4,1,3,0,2,1,1,3,2,3,3,3,1,1,3,4
E00072607,E01014374,346,3,0,4,4,7,2,2,7,9,10,5,10,7,1,3,3,3,4,4,3,3,2,1,1,2,1,0,0,4,0,1,2,1,1,1,2,3,2,3,6,8,5,4,8,6,4,6,8,3,7,5,5,7,5,6,2,2,4,2,2,6,6,2,10,10,4,6,2,11,5,1,3,4,2,3,3,6,2,4,2,3,5,1,5,2,2,1,3,3,0,3
E00072608,E01014374,256,2,4,1,4,2,3,4,4,5,3,4,3,2,5,4,4,4,2,3,2,0,1,0,4,5,2,1,1,3,4,0,4,2,1,4,3,3,1,3,4,6,7,3,1,4,2,3,1,4,3,2,8,6,4,3,2,2,2,2,6,0,5,5,2,1,1,6,3,0,1,2,3,1,2,2,4,4,4,3,2,2,8,0,0,1,3,1,1,1,3,3
E00072596,E01014375,326,2,2,4,3,7,2,1,4,3,3,1,2,4,0,4,3,6,4,5,2,2,0,4,2,4,5,6,3,4,4,1,2,4,4,1,4,2,1,2,2,2,4,5,2,8,4,5,3,4,4,6,9,6,6,9,5,7,6,4,10,6,4,3,2,4,4,8,11,6,6,5,5,2,4,1,5,1,2,3,3,1,0,1,0,3,2,1,2,0,2,1
E00072609,E01014375,329,3,0,0,5,4,2,2,2,4,4,1,8,5,1,10,6,4,6,4,0,3,1,6,4,3,2,4,2,0,3,1,3,1,3,1,3,4,2,2,1,5,2,4,6,5,3,5,5,9,6,5,12,8,11,11,6,5,3,8,6,3,1,8,5,1,1,2,3,6,1,8,6,3,6,5,1,3,2,5,0,1,0,0,2,4,2,2,1,0,1,1
E00072610,E01014375,94,0,0,1,0,1,0,1,0,0,1,0,0,1,3,0,0,1,0,0,3,0,2,0,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,5,2,3,2,0,2,2,4,2,4,5,3,4,1,2,1,0,3,1,0,0,1,3,0,2,3,1,0,0,1,2,2,1,2,1,0,1,0,1
E00072612,E01014375,275,5,5,3,3,4,4,4,2,5,4,3,4,3,5,2,3,6,2,2,2,1,2,1,2,1,1,4,2,1,3,2,1,6,3,1,2,2,4,3,4,3,3,5,6,5,3,5,4,5,7,7,5,5,5,3,1,5,3,4,3,8,3,2,6,4,1,9,4,4,1,4,2,2,7,2,0,1,2,1,2,3,0,1,2,0,0,0,0,0,0,0
E00072613,E01014375,267,2,0,0,1,4,0,1,2,2,0,4,2,5,2,4,2,1,2,4,4,0,1,1,0,1,2,1,3,0,2,1,3,4,1,5,7,3,1,2,1,2,1,4,1,3,4,5,5,5,9,5,4,3,6,7,5,4,4,3,6,5,5,6,3,1,1,5,2,7,6,2,3,4,2,7,2,6,4,6,9,1,3,4,2,0,1,1,0,0,0,2
E00072598,E01014376,297,0,2,0,0,0,5,2,0,5,4,3,4,2,2,6,1,5,2,5,1,0,0,1,2,2,2,5,1,0,1,0,1,1,1,0,0,1,0,3,1,1,0,1,3,2,3,2,6,5,9,5,3,4,7,7,5,7,5,9,3,4,2,3,6,3,6,6,3,5,5,7,7,9,6,6,4,7,5,5,5,7,5,3,3,3,3,1,2,0,0,8
