OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00078868,E01015591,353,3,0,2,2,2,2,0,2,4,1,1,2,2,0,2,4,3,6,6,6,3,2,3,7,2,3,0,4,2,3,1,2,5,1,1,1,3,1,3,1,0,8,4,11,2,4,5,4,6,7,2,5,6,4,9,7,7,3,6,7,10,6,6,8,3,6,7,4,7,6,8,1,6,11,6,4,3,6,4,7,7,2,4,6,4,2,1,0,0,2,1
E00078859,E01015592,249,4,5,2,2,3,2,6,4,6,4,4,5,2,3,3,4,3,4,5,2,2,1,1,2,2,0,2,4,5,3,4,3,5,4,3,3,3,3,2,2,2,1,3,0,4,1,1,4,2,1,4,1,3,3,1,4,2,3,1,6,4,2,5,2,5,4,7,4,3,1,2,4,2,3,2,1,1,3,1,1,1,1,0,0,2,2,0,1,3,4,4
E00078860,E01015592,243,8,3,8,2,4,1,3,3,3,1,3,1,2,1,0,4,1,3,0,4,3,1,3,4,4,4,2,2,4,5,3,3,2,3,2,6,2,9,2,2,4,2,5,1,3,2,3,2,4,7,1,2,2,2,2,3,3,2,1,2,6,4,2,5,4,6,1,6,5,5,3,1,3,1,3,3,3,0,1,0,0,0,2,0,0,2,0,0,2,0,1
E00078866,E01015592,291,6,3,4,3,5,1,7,4,3,2,6,3,3,3,2,4,2,1,1,2,0,0,5,4,4,2,3,5,2,6,7,2,6,4,3,11,6,3,6,4,2,1,3,8,5,5,4,2,5,3,2,3,2,5,1,3,4,5,8,7,3,3,6,6,8,1,4,2,4,6,3,3,3,1,1,1,3,1,1,2,0,1,0,0,1,0,0,0,0,0,1
E00078867,E01015592,405,6,7,5,2,5,9,7,7,6,6,9,4,6,5,5,5,3,2,7,2,2,5,7,5,6,6,7,4,9,4,9,5,7,4,9,5,7,4,11,10,10,7,7,7,3,10,6,7,3,6,5,4,4,3,8,3,3,6,4,3,4,2,3,3,5,3,6,4,3,5,0,2,4,0,2,4,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0
E00078869,E01015592,426,8,7,8,11,12,10,10,12,12,6,4,7,4,10,10,4,7,4,5,8,3,2,6,6,3,9,7,6,1,7,5,8,6,7,6,7,7,8,7,7,5,8,5,6,3,8,2,4,3,3,4,3,4,2,2,4,4,3,2,1,2,2,3,4,5,6,4,9,1,2,2,4,4,4,2,3,3,1,3,2,2,0,1,1,1,0,0,1,0,0,1
E00078852,E01015593,302,5,5,7,10,4,3,4,5,6,5,2,3,3,7,5,6,7,1,3,3,4,6,4,3,5,7,6,6,5,6,6,1,2,2,3,6,7,1,4,3,4,1,2,5,1,3,1,5,5,4,2,3,3,2,0,1,1,1,3,5,6,6,4,3,4,3,5,8,1,3,2,2,3,1,2,0,1,5,1,1,0,0,0,0,1,1,3,2,0,0,1
E00078855,E01015593,198,5,4,4,3,7,6,5,4,3,3,4,3,2,5,2,2,1,1,3,1,1,3,1,3,2,5,2,5,2,5,2,3,6,5,4,4,2,1,5,3,5,3,2,2,2,2,0,2,3,2,3,0,2,4,2,1,0,2,2,1,1,2,2,1,1,4,4,1,3,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
E00078856,E01015593,382,7,10,4,12,6,10,3,12,7,7,4,6,4,6,5,3,2,5,2,5,2,2,7,4,4,2,7,8,6,8,3,6,11,4,7,11,7,5,6,6,5,5,6,7,5,4,0,2,2,3,6,4,5,3,4,5,5,7,3,1,3,4,7,4,5,2,2,3,3,2,2,1,2,0,2,3,5,1,2,2,2,0,0,1,1,1,2,1,1,0,0
E00078862,E01015593,324,7,9,6,10,10,2,8,5,9,6,4,5,1,2,4,5,4,2,3,3,2,3,0,5,5,2,7,6,5,6,3,9,7,7,4,6,4,5,5,2,5,6,5,6,4,3,5,2,4,4,2,2,3,6,4,3,3,4,2,3,1,3,4,2,3,7,2,2,6,4,4,1,0,1,3,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
E00078870,E01015593,349,4,10,6,10,7,9,7,12,8,5,4,6,7,10,5,3,3,6,6,3,3,3,2,3,5,3,8,3,8,4,8,7,5,7,7,7,7,9,5,9,2,6,1,5,2,2,3,2,1,0,0,4,5,1,3,4,7,4,2,2,3,5,4,1,3,2,5,2,1,1,3,3,2,2,1,3,1,0,0,1,1,0,1,0,0,0,0,2,0,0,2
