OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00166211,E01008163,233,9,5,9,5,9,6,9,8,7,7,8,5,5,6,3,2,0,1,2,1,3,1,1,5,1,6,2,4,7,3,3,4,4,4,5,7,4,5,8,2,1,0,2,0,1,0,2,5,2,1,1,0,3,3,1,0,1,1,5,1,3,2,0,1,3,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
E00041366,E01008164,215,4,3,1,4,2,0,4,1,1,2,2,2,0,1,1,2,1,2,0,0,3,5,4,6,12,5,11,7,5,5,2,2,6,5,7,2,2,0,2,5,3,4,4,2,2,5,2,4,3,4,2,4,2,2,2,0,5,1,0,2,3,2,2,2,3,1,4,1,1,3,2,1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1
E00041385,E01008164,224,3,2,3,3,1,2,4,0,0,1,0,1,5,0,0,0,1,2,1,0,2,4,3,6,4,5,5,11,12,7,5,8,4,4,3,5,4,4,2,3,1,4,4,3,5,2,4,3,4,3,3,4,6,2,0,2,3,2,1,3,2,3,1,0,1,4,0,1,2,2,0,0,0,2,1,0,0,1,0,1,1,0,1,4,2,0,2,0,0,1,3
E00041389,E01008164,196,2,5,3,2,1,2,0,3,2,5,1,0,1,0,0,0,1,0,2,2,2,1,3,4,3,5,8,3,6,1,1,4,5,2,1,5,4,2,1,7,5,5,4,3,5,1,2,2,3,1,3,3,2,3,4,2,1,4,4,2,3,2,2,4,2,2,5,6,1,2,1,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
E00041390,E01008164,373,4,3,4,4,7,4,7,4,4,1,5,4,3,3,3,3,4,4,3,1,5,4,8,6,8,6,8,6,5,4,5,9,4,8,8,4,5,4,9,3,3,1,5,9,5,2,7,4,11,4,0,6,3,3,4,6,5,3,0,2,2,3,3,7,2,0,3,3,8,1,3,4,2,3,1,4,3,2,2,3,0,3,3,3,3,3,2,2,1,2,15
E00166179,E01008164,477,18,8,11,8,6,5,8,6,8,7,3,7,5,7,4,2,6,1,5,3,6,8,6,6,6,13,17,16,18,22,13,18,9,11,9,8,7,8,10,7,8,5,7,6,7,5,4,4,4,4,4,6,5,4,2,3,0,1,4,2,2,3,2,4,1,1,3,4,0,1,2,1,1,2,3,2,1,3,2,1,1,0,0,2,1,0,0,0,0,1,2
E00041367,E01008165,225,3,3,1,0,1,2,1,0,0,5,1,1,0,1,3,1,2,1,1,0,1,3,1,0,5,4,3,3,4,6,3,3,9,4,7,2,5,1,3,1,3,0,3,0,5,6,1,3,1,5,0,6,7,3,3,7,5,5,7,0,2,2,1,7,4,1,5,7,1,1,5,2,2,2,4,1,2,3,2,5,0,0,0,0,0,0,0,0,0,0,1
E00041368,E01008165,286,3,2,6,3,6,6,6,1,4,2,1,4,2,4,2,4,5,5,1,4,3,3,10,6,3,7,3,3,2,3,5,5,2,4,4,7,3,4,5,2,1,1,4,3,4,0,7,4,2,1,2,2,10,8,7,6,3,2,8,5,0,3,3,5,3,2,2,0,5,3,2,1,3,2,1,1,0,1,1,4,1,1,1,0,1,0,1,2,0,0,2
E00041369,E01008165,396,6,6,8,9,5,8,6,4,5,4,4,0,8,6,6,3,7,11,8,2,4,7,3,8,9,7,4,8,3,6,9,5,8,8,7,6,3,5,5,2,6,7,3,4,5,2,4,6,6,4,1,9,1,2,6,9,4,5,4,4,4,2,5,1,3,8,3,9,3,4,3,3,1,1,5,1,2,1,1,1,3,0,0,1,1,0,0,1,0,0,4
E00041372,E01008165,254,4,5,4,6,10,5,9,3,4,5,5,6,2,5,3,6,7,2,1,4,2,3,10,2,4,5,5,3,1,4,2,6,4,3,6,4,3,2,2,1,2,3,3,2,5,2,5,3,2,4,0,3,4,2,3,1,2,3,2,4,2,0,2,1,1,0,4,3,0,3,3,1,3,0,0,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,1
