OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
W00000001,W01000001,397,6,3,2,4,7,0,2,2,1,4,4,6,2,4,3,4,6,3,4,5,0,5,1,3,2,2,3,5,3,2,1,3,5,2,2,2,5,4,3,1,5,4,3,5,6,5,4,4,12,10,6,9,9,9,2,8,8,6,11,8,5,7,4,8,8,13,11,8,13,6,6,9,2,1,3,2,4,5,2,2,2,4,1,2,0,1,0,2,2,1,3
W00000002,W01000001,273,4,3,0,3,3,2,2,1,2,2,1,1,3,4,0,0,1,3,3,5,4,0,3,1,2,0,4,1,2,2,8,3,3,5,4,2,1,3,2,0,3,0,2,3,3,3,2,3,3,5,1,7,6,4,12,1,2,2,1,5,8,4,4,6,6,8,4,5,4,4,1,4,3,0,4,3,6,3,3,3,4,1,1,6,2,1,4,4,0,3,3
W00000003,W01000002,375,5,6,5,1,2,2,1,1,4,5,5,4,3,1,11,6,6,5,2,1,3,5,3,3,5,9,2,7,1,7,3,3,4,3,0,3,7,2,3,5,4,3,4,5,5,8,5,10,5,8,3,9,9,5,9,5,7,10,6,6,3,5,4,1,3,5,7,4,5,6,3,4,5,6,0,5,4,3,1,2,1,1,1,5,2,2,2,0,1,0,4
W00000004,W01000002,472,7,1,14,5,6,4,2,10,7,2,4,3,5,3,1,3,3,4,2,3,2,3,2,3,3,6,5,10,2,6,0,3,2,6,3,2,3,3,6,6,7,3,6,7,7,6,9,7,7,5,2,12,9,4,3,16,9,9,4,7,4,3,6,4,5,9,9,15,16,6,10,14,7,3,3,5,12,4,1,8,1,3,2,2,4,2,2,4,1,1,2
W00000005,W01000003,532,8,12,3,14,11,5,9,7,6,3,5,9,5,3,7,6,6,8,6,5,6,6,6,7,7,10,7,4,9,5,5,4,8,4,2,12,8,7,11,4,6,7,8,3,6,5,3,9,8,11,4,3,10,6,5,9,8,7,5,8,6,5,5,5,4,8,6,5,5,3,10,8,4,3,6,2,5,7,0,1,8,5,2,4,2,2,3,2,1,1,3
W00000006,W01000003,351,4,7,4,5,4,3,4,3,6,2,2,0,2,5,6,5,6,3,5,2,3,2,5,7,9,5,6,6,5,2,3,6,5,6,7,8,6,1,2,4,1,6,4,3,5,2,6,9,4,6,5,5,4,5,7,7,4,4,3,7,4,2,5,4,8,2,1,5,3,1,5,4,6,2,4,3,1,6,1,1,1,1,2,1,2,0,0,1,1,0,1
W00000008,W01000003,302,0,2,1,2,4,0,0,1,2,2,0,2,3,2,2,3,2,5,1,1,5,1,1,4,7,5,0,2,3,3,1,3,1,6,1,1,2,3,0,3,1,0,1,4,8,1,4,3,3,4,3,6,1,5,5,4,5,3,9,2,5,4,5,6,6,2,7,2,10,4,4,9,6,9,4,7,4,5,4,4,5,4,0,2,2,3,5,1,2,2,10
W00000009,W01000003,451,4,7,7,11,5,7,6,5,4,6,6,3,6,7,3,4,9,7,11,7,4,6,5,7,9,15,4,6,6,4,3,10,5,3,7,8,5,3,1,8,3,4,3,5,4,3,6,6,9,8,8,7,9,5,8,6,5,3,2,2,6,9,2,7,7,5,9,3,5,2,4,1,3,1,1,0,1,9,6,5,4,0,1,1,1,1,2,2,0,2,1
W00000010,W01000004,310,0,2,1,1,0,1,1,1,4,2,1,2,1,2,3,1,2,6,4,1,2,2,1,3,1,2,1,0,2,1,1,0,3,0,2,1,2,1,1,3,0,3,2,3,3,5,5,4,3,4,1,6,3,5,3,6,6,3,5,4,7,4,4,6,9,8,8,7,12,9,8,9,12,1,5,6,2,5,4,5,4,8,4,1,5,2,2,1,0,2,11
W00000011,W01000004,267,4,2,4,1,3,2,5,1,3,0,3,2,3,7,3,8,1,5,1,3,6,1,2,1,2,0,1,1,1,0,4,1,2,4,0,1,2,0,1,2,2,1,2,4,4,2,3,3,6,4,1,4,8,8,1,3,6,2,5,4,4,3,9,2,6,5,7,6,6,4,3,8,8,6,3,3,3,3,5,2,0,0,0,1,0,0,1,0,0,0,3
W00000012,W01000004,283,2,3,2,2,3,0,7,2,1,4,3,0,1,0,0,3,1,3,2,3,0,2,4,5,0,1,2,2,4,3,2,2,3,4,2,1,0,2,0,1,0,2,2,1,7,5,2,9,3,2,3,4,1,4,3,5,4,3,4,3,9,5,1,7,2,4,8,11,7,6,8,6,2,6,8,9,5,7,2,6,0,1,3,7,0,1,0,1,0,0,2
W00000013,W01000004,387,6,4,4,5,8,4,6,5,6,2,7,5,9,3,4,4,2,2,5,5,3,2,2,7,3,4,6,4,5,4,8,5,6,1,5,2,5,2,5,2,4,3,1,5,11,11,7,7,7,2,3,5,4,7,9,8,5,3,3,5,4,2,7,1,4,4,4,6,3,6,3,9,7,4,1,3,4,4,2,3,2,5,1,1,1,3,1,0,0,1,4
W00000014,W01000005,296,6,6,7,7,1,9,5,5,8,11,5,5,6,4,3,5,2,5,3,3,6,6,3,4,7,2,3,4,9,3,2,4,4,2,5,8,3,5,4,7,2,2,5,1,3,3,3,2,4,2,2,5,3,2,1,5,2,3,1,1,2,4,5,3,5,5,2,1,2,3,1,2,2,2,0,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1
W00000015,W01000005,241,2,2,0,1,1,2,0,0,2,1,1,1,0,1,1,0,1,1,0,0,3,0,1,3,0,2,7,2,0,2,1,2,0,3,2,1,0,2,0,0,2,2,2,1,0,3,0,1,1,3,0,6,5,3,3,1,4,8,7,5,7,7,5,6,3,2,10,9,8,8,9,4,3,5,6,9,4,6,0,4,1,1,4,2,5,2,1,1,1,0,3
W00000016,W01000005,214,3,2,3,0,1,1,1,0,1,2,1,2,1,1,1,1,0,1,1,1,1,1,4,1,1,2,2,1,0,0,4,0,0,0,2,3,1,3,3,2,0,2,1,1,3,2,3,2,0,0,1,0,1,4,1,1,3,6,3,10,1,1,2,5,5,8,9,5,5,4,4,1,2,3,2,4,6,5,7,2,4,2,5,6,0,1,1,4,0,2,9
W00000017,W01000005,221,4,2,1,2,1,1,1,1,2,0,3,2,1,2,1,0,4,1,0,0,0,0,1,4,4,2,1,3,1,1,6,4,2,5,0,3,3,0,3,0,2,3,0,2,7,3,1,4,2,0,5,3,3,1,2,2,1,3,1,3,2,4,5,2,4,4,5,4,5,1,5,6,3,5,2,4,6,2,5,3,3,3,4,0,3,0,3,2,0,1,5
W00000018,W01000005,247,2,3,3,1,1,3,0,5,0,0,3,3,1,4,1,4,1,6,5,3,4,0,6,5,7,2,2,3,6,2,2,4,4,1,3,2,2,1,5,2,2,4,2,3,4,4,3,3,1,4,3,4,3,5,4,1,3,0,4,2,3,4,4,8,2,6,5,6,2,3,1,2,2,3,1,1,0,2,3,3,0,1,3,2,6,1,2,0,0,0,0
W00000019,W01000005,187,0,2,0,1,0,0,2,2,0,1,0,1,1,1,0,2,1,0,3,2,3,1,2,0,1,3,0,1,3,1,1,1,3,2,2,0,1,0,2,3,3,3,4,3,2,2,1,6,3,2,3,2,3,4,3,5,3,8,2,0,1,5,1,1,1,2,2,1,3,3,1,4,4,2,1,6,6,2,2,3,2,4,6,1,2,0,2,2,2,3,1
W00000020,W01000005,204,1,1,1,0,0,3,1,2,1,2,2,3,1,3,3,0,3,0,0,0,2,2,2,0,2,6,1,4,1,1,3,2,1,3,0,1,2,2,4,3,1,1,1,2,4,1,2,1,1,3,0,3,2,2,3,4,5,4,3,2,6,2,1,6,3,2,4,4,3,4,2,4,1,6,0,4,2,1,2,6,4,1,3,2,3,2,3,4,0,1,4
W00000021,W01000005,213,1,1,2,0,2,0,1,3,1,2,0,1,0,0,0,0,0,2,0,1,0,0,1,1,1,3,1,1,2,2,1,1,1,1,1,0,2,4,0,2,1,2,3,1,2,1,1,1,0,5,2,5,2,1,3,2,2,4,6,4,3,3,1,2,3,9,4,7,6,9,3,4,3,1,4,6,9,2,8,1,5,8,4,2,2,5,2,2,3,0,2
W00000022,W01000006,314,3,6,4,6,4,3,3,2,1,2,3,6,4,1,1,4,3,3,1,3,4,3,3,6,8,1,5,0,5,4,2,5,3,1,2,3,2,5,3,5,2,2,3,8,5,3,4,2,6,2,8,0,4,3,11,3,4,3,3,8,8,8,4,2,6,6,7,4,4,4,3,4,1,5,5,1,4,2,1,3,1,2,1,1,2,4,0,2,1,0,1
W00000023,W01000006,334,5,2,3,4,1,3,5,1,1,4,2,1,4,2,0,4,6,3,7,3,3,3,4,2,4,4,6,3,3,0,1,1,3,1,2,1,1,5,6,2,7,5,4,5,8,6,3,3,3,3,5,4,5,8,5,5,7,9,7,7,5,1,2,1,5,12,7,5,11,3,5,7,2,4,7,4,3,3,4,3,1,3,2,0,0,3,1,1,1,0,3
W00000024,W01000006,349,3,1,3,3,0,2,2,4,2,4,2,2,2,4,2,4,1,6,2,1,2,2,1,2,6,7,4,4,4,4,6,3,2,1,4,4,2,3,0,3,7,1,4,6,5,4,3,5,5,4,9,5,6,7,11,10,4,6,9,7,6,5,6,7,4,4,6,10,8,2,9,6,4,4,5,1,1,3,2,3,1,2,4,3,3,1,1,2,1,0,3
